itemID	itemKey	title	publication	date	attachmentItemID	attachmentKey	source_path	copied_file
1173	U4BLIPYI	Adaptive Optimal Tracking Control of an Underactuated Surface Vessel Using Actor–Critic Reinforcement Learning	IEEE Transactions on Neural Networks and Learning Systems	2024-06-00 6/2024	1172	VWUQAI82	/Users/sunyue/Zotero/storage/VWUQAI82/Chen 等 - 2024 - Adaptive Optimal Tracking Control of an Underactuated Surface Vessel Using Actor–Critic Reinforcemen.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2024_U4BLIPYI_Adaptive Optimal Tracking Control of an Underactuated Surface Vessel Using ActorCritic Reinforcement Learning.pdf
921	KPLEYUEJ	Further results on optimal local and remote control with packet losses and transmission delay	Systems & Control Letters	2024-04-00 04/2024	920	WD7N93IK	/Users/sunyue/Zotero/storage/WD7N93IK/Song 等 - 2024 - Further results on optimal local and remote control with packet losses and transmission delay.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2024_KPLEYUEJ_Further results on optimal local and remote control with packet losses and transmission delay.pdf
1092	EYSY8CGL	Prescribed-time control for time-varying nonlinear systems: A temporal scaling based robust adaptive approach	Systems & Control Letters	2023-11-00 11/2023	1090	4GSKURS9	/Users/sunyue/Zotero/storage/4GSKURS9/Ye和Song - 2023 - Prescribed-time control for time-varying nonlinear systems A temporal scaling based robust adaptive.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2023_EYSY8CGL_Prescribed-time control for time-varying nonlinear systems_ A temporal scaling based robust adaptive approach.pdf
1024	EQ4J5X7W	On Stochastic Stabilization via Nonsmooth Control Lyapunov Functions	IEEE Transactions on Automatic Control	2023-08-00 8/2023	1025	8H26Q4C7	/Users/sunyue/Zotero/storage/8H26Q4C7/Osinenko 等 - 2023 - On Stochastic Stabilization via Nonsmooth Control Lyapunov Functions.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2023_EQ4J5X7W_On Stochastic Stabilization via Nonsmooth Control Lyapunov Functions.pdf
1088	S9EDH2DH	Adaptive Prescribed-Time Control for a Class of Uncertain Nonlinear Systems	IEEE Transactions on Automatic Control	2022-11-00 11/2022	1087	Y46B8ERY	/Users/sunyue/Zotero/storage/Y46B8ERY/Hua 等 - 2022 - Adaptive Prescribed-Time Control for a Class of Uncertain Nonlinear Systems.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2022_S9EDH2DH_Adaptive Prescribed-Time Control for a Class of Uncertain Nonlinear Systems.pdf
1171	3ST8ZF99	Learning and Near-Optimal Control of Underactuated Surface Vessels With Periodic Disturbances	IEEE Transactions on Cybernetics	2022-08-00 8/2022	1170	RCWIXJFJ	/Users/sunyue/Zotero/storage/RCWIXJFJ/Zhang 等 - 2022 - Learning and Near-Optimal Control of Underactuated Surface Vessels With Periodic Disturbances.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2022_3ST8ZF99_Learning and Near-Optimal Control of Underactuated Surface Vessels With Periodic Disturbances.pdf
1148	CIWJUDBA	Finite-Time Unknown Observer-Based Interactive Trajectory Tracking Control of Asymmetric Underactuated Surface Vehicles	IEEE Transactions on Control Systems Technology	2021-03-00 3/2021	1134	YGBYERYP	/Users/sunyue/Zotero/storage/YGBYERYP/Wang和Su - 2021 - Finite-Time Unknown Observer-Based Interactive Trajectory Tracking Control of Asymmetric Underactuat.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2021_CIWJUDBA_Finite-Time Unknown Observer-Based Interactive Trajectory Tracking Control of Asymmetric Underactuated Surface Vehicles.pdf
496	UY9KRT3H	Theory of Fractional-Polynomial Powered Descent Guidance	Journal of Guidance, Control, and Dynamics	2020-03-00 03/2020	497	A4JLWXCF	/Users/sunyue/Zotero/storage/A4JLWXCF/Lu - 2020 - Theory of Fractional-Polynomial Powered Descent Gu.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2020_UY9KRT3H_Theory of Fractional-Polynomial Powered Descent Guidance.pdf
492	598EBHSN	Augmented Apollo Powered Descent Guidance	Journal of Guidance, Control, and Dynamics	2019-03-00 03/2019	491	583RBGBS	/Users/sunyue/Zotero/storage/583RBGBS/Lu - 2019 - Augmented Apollo Powered Descent Guidance.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2019_598EBHSN_Augmented Apollo Powered Descent Guidance.pdf
2581	42B7LACK	Linear predictors for nonlinear dynamical systems: Koopman operator meets model predictive control	Automatica	2018-07-01 2018-07-01	2582	X4UYPBTM	/Users/sunyue/Zotero/storage/X4UYPBTM/Korda和Mezić - 2018 - Linear predictors for nonlinear dynamical systems Koopman operator meets model predictive control.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2018_42B7LACK_Linear predictors for nonlinear dynamical systems_ Koopman operator meets model predictive control.pdf
499	AE45ESZG	Propellant-Optimal Powered Descent Guidance	Journal of Guidance, Control, and Dynamics	2018-04-00 04/2018	643	JNQ3ZLZ4	/Users/sunyue/Zotero/storage/JNQ3ZLZ4/Lu - 2018 - Propellant-Optimal Powered Descent Guidance.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2018_AE45ESZG_Propellant-Optimal Powered Descent Guidance.pdf
968	EMAWGACQ	Adaptive Neural Network Control of a Marine Vessel With Constraints Using the Asymmetric Barrier Lyapunov Function	IEEE Transactions on Cybernetics	2017-07-00 7/2017	965	WZTG477U	/Users/sunyue/Zotero/storage/WZTG477U/He 等 - 2017 - Adaptive Neural Network Control of a Marine Vessel With Constraints Using the Asymmetric Barrier Lya.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2017_EMAWGACQ_Adaptive Neural Network Control of a Marine Vessel With Constraints Using the Asymmetric Barrier Lyapunov Function.pdf
423	2CUA3D6G	Constrained Autonomous Precision Landing via Dual Quaternions and Model Predictive Control	Journal of Guidance, Control, and Dynamics	2017-02-00 02/2017	424	JL3VL3UU	/Users/sunyue/Zotero/storage/JL3VL3UU/Lee 和 Mesbahi - 2017 - Constrained Autonomous Precision Landing via Dual .pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2017_2CUA3D6G_Constrained Autonomous Precision Landing via Dual Quaternions and Model Predictive Control.pdf
9	2MUM6QGN	Waypoint-Optimized Zero-Effort-Miss/Zero-Effort-Velocity Feedback Guidance for Mars Landing	Journal of Guidance, Control, and Dynamics	2013-05-00 05/2013	211	4MVZHBYH	/Users/sunyue/Library/Mobile Documents/com~apple~Preview/Documents/Enceladus/landing/Guo et al. - 2013 - Waypoint-Optimized Zero-Effort-MissZero-Effort-Ve.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2013_2MUM6QGN_Waypoint-Optimized Zero-Effort-Miss_Zero-Effort-Velocity Feedback Guidance for Mars Landing.pdf
1154	75YYAE4K	Global Tracking Control of Underactuated Ships With Input and Velocity Constraints Using Dynamic Surface Control Method	IEEE Transactions on Control Systems Technology	2011-11-00 11/2011	1140	KK4Y2TN3	/Users/sunyue/Zotero/storage/KK4Y2TN3/Chwa - 2011 - Global Tracking Control of Underactuated Ships With Input and Velocity Constraints Using Dynamic Sur.pdf	paper-style-distiller/samples/zotero-control-guidance-decision-top-journals/2011_75YYAE4K_Global Tracking Control of Underactuated Ships With Input and Velocity Constraints Using Dynamic Surface Control Method.pdf
